RetainedTxp	DuplicateTxp
lcl|NT_033777.3_cds_NP_001163577.1_24780	lcl|NT_033777.3_cds_NP_731403.2_24782
lcl|NT_033777.3_cds_NP_001163577.1_24780	lcl|NT_033777.3_cds_NP_651988.2_24783
lcl|NT_033777.3_cds_NP_001163577.1_24780	lcl|NT_033777.3_cds_NP_001287264.1_24784
lcl|NT_033779.5_cds_NP_001246003.1_8982	lcl|NT_033779.5_cds_NP_001033901.1_8983
lcl|NT_033778.4_cds_NP_726441.1_17002	lcl|NT_033778.4_cds_NP_995935.1_17003
lcl|NT_033778.4_cds_NP_724408.4_11278	lcl|NT_033778.4_cds_NP_610167.3_11279
lcl|NT_037436.4_cds_NP_649223.1_22484	lcl|NT_037436.4_cds_NP_001262109.1_22485
lcl|NC_004354.4_cds_NP_001285140.1_2813	lcl|NC_004354.4_cds_NP_001285141.1_2814
lcl|NC_004354.4_cds_NP_001285140.1_2813	lcl|NC_004354.4_cds_NP_572749.2_2815
lcl|NT_033779.5_cds_NP_723239.1_7420	lcl|NT_033779.5_cds_NP_723240.1_7421
lcl|NT_033779.5_cds_NP_723239.1_7420	lcl|NT_033779.5_cds_NP_001285699.1_7422
lcl|NT_033779.5_cds_NP_609280.2_8084	lcl|NT_033779.5_cds_NP_001260287.1_8085
lcl|NT_033778.4_cds_NP_001188909.1_13323	lcl|NT_033778.4_cds_NP_001286338.1_13324
lcl|NT_033778.4_cds_NP_001188909.1_13323	lcl|NT_033778.4_cds_NP_001286340.1_13325
lcl|NT_037436.4_cds_NP_729060.2_18743	lcl|NT_037436.4_cds_NP_523933.3_18744
lcl|NT_037436.4_cds_NP_729060.2_18743	lcl|NT_037436.4_cds_NP_729059.2_18745
lcl|NT_037436.4_cds_NP_729060.2_18743	lcl|NT_037436.4_cds_NP_001261440.1_18746
lcl|NC_004354.4_cds_NP_511129.3_2761	lcl|NC_004354.4_cds_NP_727549.2_2762
lcl|NT_033779.5_cds_NP_609844.1_10001	lcl|NT_033779.5_cds_NP_001246063.1_10002
lcl|NT_033777.3_cds_NP_651388.1_28904	lcl|NT_033777.3_cds_NP_001163728.1_28905
lcl|NT_033779.5_cds_NP_609265.1_8030	lcl|NT_033779.5_cds_NP_001285770.1_8031
lcl|NT_037436.4_cds_NP_476581.1_18988	lcl|NT_037436.4_cds_NP_001261474.1_18989
lcl|NT_037436.4_cds_NP_476581.1_18988	lcl|NT_037436.4_cds_NP_001261475.1_18990
lcl|NT_037436.4_cds_NP_476581.1_18988	lcl|NT_037436.4_cds_NP_001261476.1_18991
lcl|NC_004354.4_cds_NP_573228.1_4380	lcl|NC_004354.4_cds_NP_001285378.1_4381
lcl|NT_033779.5_cds_NP_001137803.1_7292	lcl|NT_033779.5_cds_NP_001260148.1_7293
lcl|NT_037436.4_cds_NP_652282.1_22606	lcl|NT_037436.4_cds_NP_001262129.1_22607
lcl|NC_004353.4_cds_NP_651949.2_30664	lcl|NC_004353.4_cds_NP_001245426.1_30665
lcl|NC_004354.4_cds_NP_525037.1_302	lcl|NC_004354.4_cds_NP_001188523.1_303
lcl|NT_033778.4_cds_NP_610273.1_11730	lcl|NT_033778.4_cds_NP_724547.1_11731
lcl|NT_033778.4_cds_NP_610273.1_11730	lcl|NT_033778.4_cds_NP_724548.1_11732
lcl|NC_004354.4_cds_NP_572338.1_1534	lcl|NC_004354.4_cds_NP_001284951.1_1535
lcl|NC_004354.4_cds_NP_572338.1_1534	lcl|NC_004354.4_cds_NP_001027048.1_1536
lcl|NC_004354.4_cds_NP_572500.1_2037	lcl|NC_004354.4_cds_NP_001259352.1_2038
lcl|NT_033779.5_cds_NP_001027352.1_10966	lcl|NT_033779.5_cds_NP_001027357.1_10971
lcl|NT_033779.5_cds_NP_001027352.1_10966	lcl|NT_033779.5_cds_NP_001027362.1_10976
lcl|NT_033779.5_cds_NP_001027352.1_10966	lcl|NT_033779.5_cds_NP_001027382.1_10996
lcl|NT_033778.4_cds_NP_001286756.1_16536	lcl|NT_033778.4_cds_NP_001286757.1_16537
lcl|NT_033778.4_cds_NP_001286756.1_16536	lcl|NT_033778.4_cds_NP_001286758.1_16538
lcl|NT_033778.4_cds_NP_610910.1_13846	lcl|NT_033778.4_cds_NP_725332.1_13847
lcl|NT_037436.4_cds_NP_647788.1_18238	lcl|NT_037436.4_cds_NP_001261363.1_18239
lcl|NT_033777.3_cds_NP_996204.1_25861	lcl|NT_033777.3_cds_NP_996205.1_25862
lcl|NT_033778.4_cds_NP_611097.2_14546	lcl|NT_033778.4_cds_NP_001188958.1_14547
lcl|NT_033777.3_cds_NP_001247070.1_25391	lcl|NT_033777.3_cds_NP_001247072.1_25392
lcl|NC_004354.4_cds_NP_001259770.1_5249	lcl|NC_004354.4_cds_NP_001259771.1_5250
lcl|NC_004354.4_cds_NP_001259770.1_5249	lcl|NC_004354.4_cds_NP_001027087.1_5251
lcl|NC_004354.4_cds_NP_001259770.1_5249	lcl|NC_004354.4_cds_NP_001027088.1_5252
lcl|NT_033777.3_cds_NP_733141.1_29137	lcl|NT_033777.3_cds_NP_733142.1_29138
lcl|NT_033777.3_cds_NP_733141.1_29137	lcl|NT_033777.3_cds_NP_733143.1_29139
lcl|NT_033777.3_cds_NP_733141.1_29137	lcl|NT_033777.3_cds_NP_733144.3_29140
lcl|NT_033777.3_cds_NP_733141.1_29137	lcl|NT_033777.3_cds_NP_001287541.1_29141
lcl|NT_033777.3_cds_NP_730835.2_23348	lcl|NT_033777.3_cds_NP_649469.2_23349
lcl|NT_033778.4_cds_NP_477377.1_16783	lcl|NT_033778.4_cds_NP_001286791.1_16784
lcl|NT_033779.5_cds_NP_608970.2_7029	lcl|NT_033779.5_cds_NP_723127.1_7030
lcl|NC_004354.4_cds_NP_573300.1_4605	lcl|NC_004354.4_cds_NP_001285405.1_4606
lcl|NC_004354.4_cds_NP_788899.1_3265	lcl|NC_004354.4_cds_NP_001245656.1_3266
lcl|NT_033777.3_cds_NP_651342.3_28829	lcl|NT_033777.3_cds_NP_001163722.1_28830
lcl|NT_033777.3_cds_NP_651342.3_28829	lcl|NT_033777.3_cds_NP_001163723.1_28831
lcl|NT_033777.3_cds_NP_651342.3_28829	lcl|NT_033777.3_cds_NP_001163724.1_28832
lcl|NT_033777.3_cds_NP_651342.3_28829	lcl|NT_033777.3_cds_NP_001163725.1_28833
lcl|NT_033777.3_cds_NP_651342.3_28829	lcl|NT_033777.3_cds_NP_001163726.1_28834
lcl|NT_033777.3_cds_NP_651342.3_28829	lcl|NT_033777.3_cds_NP_001287521.1_28835
lcl|NT_037436.4_cds_NP_524776.1_19579	lcl|NT_037436.4_cds_NP_788479.1_19580
lcl|NT_033779.5_cds_NP_477504.1_7951	lcl|NT_033779.5_cds_NP_001245946.1_7952
lcl|NT_033777.3_cds_NP_649829.1_24439	lcl|NT_033777.3_cds_NP_001189194.1_24440
lcl|NT_033777.3_cds_NP_649829.1_24439	lcl|NT_033777.3_cds_NP_001246994.1_24441
lcl|NT_033779.5_cds_NP_476595.1_7065	lcl|NT_033779.5_cds_NP_723137.1_7066
lcl|NT_033779.5_cds_NP_476595.1_7065	lcl|NT_033779.5_cds_NP_001245907.1_7067
lcl|NT_033779.5_cds_NP_476595.1_7065	lcl|NT_033779.5_cds_NP_723138.1_7068
lcl|NT_033779.5_cds_NP_476595.1_7065	lcl|NT_033779.5_cds_NP_723139.1_7069
lcl|NT_033779.5_cds_NP_476595.1_7065	lcl|NT_033779.5_cds_NP_001260117.1_7070
lcl|NC_004354.4_cds_NP_573237.2_4402	lcl|NC_004354.4_cds_NP_001285383.1_4403
lcl|NC_004354.4_cds_NP_573237.2_4402	lcl|NC_004354.4_cds_NP_001285384.1_4404
lcl|NC_004354.4_cds_NP_573237.2_4402	lcl|NC_004354.4_cds_NP_001033852.1_4405
lcl|NT_033779.5_cds_NP_001097052.2_5956	lcl|NT_033779.5_cds_NP_001259894.1_5957
lcl|NT_033779.5_cds_NP_001097052.2_5956	lcl|NT_033779.5_cds_NP_001259897.1_5958
lcl|NT_033779.5_cds_NP_608750.1_6313	lcl|NT_033779.5_cds_NP_001259991.1_6314
lcl|NT_037436.4_cds_NP_649137.3_22223	lcl|NT_037436.4_cds_NP_788540.1_22224
lcl|NT_037436.4_cds_NP_649137.3_22223	lcl|NT_037436.4_cds_NP_788541.1_22225
lcl|NT_033777.3_cds_NP_476953.1_25656	lcl|NT_033777.3_cds_NP_001163600.1_25657
lcl|NT_033779.5_cds_NP_609462.1_8609	lcl|NT_033779.5_cds_NP_001260364.1_8610
lcl|NT_033779.5_cds_NP_722912.3_6396	lcl|NT_033779.5_cds_NP_722914.3_6397
lcl|NT_037436.4_cds_NP_728814.1_18196	lcl|NT_037436.4_cds_NP_523896.2_18197
lcl|NT_037436.4_cds_NP_728814.1_18196	lcl|NT_037436.4_cds_NP_001246590.1_18198
lcl|NT_037436.4_cds_NP_728814.1_18196	lcl|NT_037436.4_cds_NP_001246591.1_18199
lcl|NT_033779.5_cds_NP_610073.1_10745	lcl|NT_033779.5_cds_NP_724302.1_10746
lcl|NT_033779.5_cds_NP_610073.1_10745	lcl|NT_033779.5_cds_NP_995738.1_10747
lcl|NT_033777.3_cds_NP_001247337.1_29414	lcl|NT_033777.3_cds_NP_001247338.1_29415
lcl|NT_033777.3_cds_NP_651777.1_30017	lcl|NT_033777.3_cds_NP_733354.1_30018
lcl|NT_033777.3_cds_NP_651777.1_30017	lcl|NT_033777.3_cds_NP_001287603.1_30019
lcl|NT_033778.4_cds_NP_610962.1_14032	lcl|NT_033778.4_cds_NP_001286418.1_14033
lcl|NC_004354.4_cds_NP_573304.1_4615	lcl|NC_004354.4_cds_NP_001285409.1_4616
lcl|NT_033777.3_cds_NP_650258.2_25646	lcl|NT_033777.3_cds_NP_001287310.1_25647
lcl|NT_033777.3_cds_NP_650258.2_25646	lcl|NT_033777.3_cds_NP_001287311.1_25648
lcl|NT_033779.5_cds_NP_609469.1_8629	lcl|NT_033779.5_cds_NP_001285819.1_8630
lcl|NT_037436.4_cds_NP_536746.1_21339	lcl|NT_037436.4_cds_NP_730089.1_21340
lcl|NT_037436.4_cds_NP_648795.2_21263	lcl|NT_037436.4_cds_NP_001261889.1_21264
lcl|NT_033778.4_cds_NP_001163264.1_16608	lcl|NT_033778.4_cds_NP_611789.2_16609
lcl|NT_033778.4_cds_NP_001137612.1_11747	lcl|NT_033778.4_cds_NP_724557.1_11748
lcl|NT_037436.4_cds_NP_648220.1_19537	lcl|NT_037436.4_cds_NP_729378.1_19538
lcl|NT_033778.4_cds_NP_726400.1_16874	lcl|NT_033778.4_cds_NP_001286810.1_16875
lcl|NT_033777.3_cds_NP_524232.2_23499	lcl|NT_033777.3_cds_NP_001303494.1_23500
lcl|NT_037436.4_cds_NP_001262046.1_22167	lcl|NT_037436.4_cds_NP_649114.2_22168
lcl|NT_033779.5_cds_NP_609771.2_9654	lcl|NT_033779.5_cds_NP_001285968.1_9655
lcl|NT_033777.3_cds_NP_524954.2_26110	lcl|NT_033777.3_cds_NP_788678.1_26111
lcl|NT_033777.3_cds_NP_733138.1_29122	lcl|NT_033777.3_cds_NP_001262983.1_29123
lcl|NT_033779.5_cds_NP_476852.1_5592	lcl|NT_033779.5_cds_NP_476851.2_5593
lcl|NT_033777.3_cds_NP_001097734.1_24825	lcl|NT_033777.3_cds_NP_001262444.1_24826
lcl|NT_033779.5_cds_NP_001162923.1_8225	lcl|NT_033779.5_cds_NP_001162924.1_8226
lcl|NT_033779.5_cds_NP_001162923.1_8225	lcl|NT_033779.5_cds_NP_001162925.1_8227
lcl|NT_033779.5_cds_NP_001162923.1_8225	lcl|NT_033779.5_cds_NP_001162926.1_8228
lcl|NT_033779.5_cds_NP_001162923.1_8225	lcl|NT_033779.5_cds_NP_609319.2_8229
lcl|NT_033779.5_cds_NP_001162923.1_8225	lcl|NT_033779.5_cds_NP_788017.1_8230
lcl|NC_004354.4_cds_NP_001285394.1_4459	lcl|NC_004354.4_cds_NP_001285395.1_4466
lcl|NT_037436.4_cds_NP_001137972.1_22127	lcl|NT_037436.4_cds_NP_001287115.1_22128
lcl|NT_033777.3_cds_NP_649568.1_23692	lcl|NT_033777.3_cds_NP_001262295.1_23693
lcl|NT_033777.3_cds_NP_731435.1_24853	lcl|NT_033777.3_cds_NP_001287265.1_24854
lcl|NT_033779.5_cds_NP_523447.2_5681	lcl|NT_033779.5_cds_NP_001245826.1_5682
lcl|NT_033779.5_cds_NP_523447.2_5681	lcl|NT_033779.5_cds_NP_722648.2_5683
lcl|NT_033779.5_cds_NP_523447.2_5681	lcl|NT_033779.5_cds_NP_001285554.1_5684
lcl|NT_033778.4_cds_NP_611429.1_15599	lcl|NT_033778.4_cds_NP_001286617.1_15600
lcl|NT_037436.4_cds_NP_648285.1_19753	lcl|NT_037436.4_cds_NP_001286990.1_19754
lcl|NC_004354.4_cds_NP_608403.1_5121	lcl|NC_004354.4_cds_NP_001285499.1_5122
lcl|NC_004354.4_cds_NP_608403.1_5121	lcl|NC_004354.4_cds_NP_001285500.1_5123
lcl|NT_033779.5_cds_NP_001260116.1_7050	lcl|NT_033779.5_cds_NP_608974.2_7051
lcl|NC_004354.4_cds_NP_573009.1_3548	lcl|NC_004354.4_cds_NP_001285266.1_3549
lcl|NT_037436.4_cds_NP_649073.1_22054	lcl|NT_037436.4_cds_NP_001303371.1_22055
lcl|NT_033779.5_cds_NP_722657.1_5710	lcl|NT_033779.5_cds_NP_722658.1_5711
lcl|NT_033779.5_cds_NP_722657.1_5710	lcl|NT_033779.5_cds_NP_001259845.1_5712
lcl|NC_004354.4_cds_NP_524644.1_2185	lcl|NC_004354.4_cds_NP_001245591.1_2186
lcl|NT_033778.4_cds_NP_610433.1_12275	lcl|NT_033778.4_cds_NP_001286220.1_12276
lcl|NT_037436.4_cds_NP_728520.2_17417	lcl|NT_037436.4_cds_NP_001137866.1_17418
lcl|NT_037436.4_cds_NP_648925.1_21663	lcl|NT_037436.4_cds_NP_001246807.1_21664
lcl|NT_033778.4_cds_NP_001260822.1_12433	lcl|NT_033778.4_cds_NP_001097239.2_12434
lcl|NT_037436.4_cds_NP_001246741.1_20784	lcl|NT_037436.4_cds_NP_001287058.1_20785
lcl|NT_033777.3_cds_NP_732286.1_26858	lcl|NT_033777.3_cds_NP_524394.2_26859
lcl|NT_033777.3_cds_NP_732286.1_26858	lcl|NT_033777.3_cds_NP_732287.1_26860
lcl|NC_004354.4_cds_NP_525093.1_4541	lcl|NC_004354.4_cds_NP_001259675.1_4542
lcl|NC_004354.4_cds_NP_525093.1_4541	lcl|NC_004354.4_cds_NP_996501.1_4543
lcl|NC_004354.4_cds_NP_525093.1_4541	lcl|NC_004354.4_cds_NP_996502.1_4544
lcl|NT_033777.3_cds_NP_001247163.1_26837	lcl|NT_033777.3_cds_NP_001247168.1_26838
lcl|NT_033778.4_cds_NP_001097423.1_16446	lcl|NT_033778.4_cds_NP_001246469.1_16447
lcl|NT_037436.4_cds_NP_524195.2_22694	lcl|NT_037436.4_cds_NP_001246862.1_22695
lcl|NT_037436.4_cds_NP_524195.2_22694	lcl|NT_037436.4_cds_NP_001246863.1_22696
lcl|NC_004354.4_cds_NP_996423.2_3341	lcl|NC_004354.4_cds_NP_996424.2_3342
lcl|NC_004354.4_cds_NP_996423.2_3341	lcl|NC_004354.4_cds_NP_996432.2_3350
lcl|NT_033777.3_cds_NP_650283.1_25700	lcl|NT_033777.3_cds_NP_731804.1_25701
lcl|NT_033777.3_cds_NP_650283.1_25700	lcl|NT_033777.3_cds_NP_731805.1_25702
lcl|NT_033777.3_cds_NP_650283.1_25700	lcl|NT_033777.3_cds_NP_731806.1_25703
lcl|NT_033777.3_cds_NP_650283.1_25700	lcl|NT_033777.3_cds_NP_731807.1_25704
lcl|NT_033778.4_cds_NP_610206.1_11398	lcl|NT_033778.4_cds_NP_001286145.1_11399
lcl|NT_033778.4_cds_NP_001261162.1_16937	lcl|NT_033778.4_cds_NP_001286824.1_16938
lcl|NT_033778.4_cds_NP_610437.2_12284	lcl|NT_033778.4_cds_NP_001246213.1_12285
lcl|NT_037436.4_cds_NP_648062.2_19076	lcl|NT_037436.4_cds_NP_001261491.1_19077
lcl|NT_033779.5_cds_NP_608938.1_6942	lcl|NT_033779.5_cds_NP_723092.1_6943
lcl|NT_033779.5_cds_NP_608938.1_6942	lcl|NT_033779.5_cds_NP_001245894.1_6944
lcl|NT_033779.5_cds_NP_608938.1_6942	lcl|NT_033779.5_cds_NP_001245897.1_6945
lcl|NT_033779.5_cds_NP_608938.1_6942	lcl|NT_033779.5_cds_NP_001260101.1_6946
lcl|NT_033779.5_cds_NP_609842.1_9991	lcl|NT_033779.5_cds_NP_001246058.1_9992
lcl|NT_033777.3_cds_NP_996166.1_23987	lcl|NT_033777.3_cds_NP_996173.1_23988
lcl|NT_033779.5_cds_NP_609683.1_9317	lcl|NT_033779.5_cds_NP_001285913.1_9318
lcl|NT_033779.5_cds_NP_723480.1_8174	lcl|NT_033779.5_cds_NP_001260295.1_8175
lcl|NT_033777.3_cds_NP_001163645.1_26924	lcl|NT_033777.3_cds_NP_001014637.1_26925
lcl|NT_037436.4_cds_NP_648623.1_20749	lcl|NT_037436.4_cds_NP_001261793.1_20750
lcl|NT_033777.3_cds_NP_524472.1_28393	lcl|NT_033777.3_cds_NP_001247276.1_28394
lcl|NT_033777.3_cds_NP_524472.1_28393	lcl|NT_033777.3_cds_NP_001247277.1_28395
lcl|NT_033779.5_cds_NP_476813.1_8611	lcl|NT_033779.5_cds_NP_599110.1_8612
lcl|NT_033779.5_cds_NP_476813.1_8611	lcl|NT_033779.5_cds_NP_001245961.1_8613
lcl|NT_033779.5_cds_NP_476813.1_8611	lcl|NT_033779.5_cds_NP_001260365.1_8614
lcl|NT_033779.5_cds_NP_476813.1_8611	lcl|NT_033779.5_cds_NP_001033899.1_8615
lcl|NT_033778.4_cds_NP_523781.2_15252	lcl|NT_033778.4_cds_NP_725785.1_15253
lcl|NT_033778.4_cds_NP_523781.2_15252	lcl|NT_033778.4_cds_NP_725786.1_15254
lcl|NT_033778.4_cds_NP_523781.2_15252	lcl|NT_033778.4_cds_NP_725787.1_15255
lcl|NT_033778.4_cds_NP_523781.2_15252	lcl|NT_033778.4_cds_NP_995885.1_15256
lcl|NT_033778.4_cds_NP_523781.2_15252	lcl|NT_033778.4_cds_NP_995886.1_15257
lcl|NT_033778.4_cds_NP_523781.2_15252	lcl|NT_033778.4_cds_NP_001286573.1_15258
lcl|NT_033779.5_cds_NP_001188846.1_10395	lcl|NT_033779.5_cds_NP_001014489.1_10396
lcl|NT_037436.4_cds_NP_649250.2_22557	lcl|NT_037436.4_cds_NP_001262121.1_22558
lcl|NT_037436.4_cds_NP_648628.1_20763	lcl|NT_037436.4_cds_NP_001261795.1_20764
